HGNC ID	Gene name	UniProt Acc	Canonical Protein Isoform 	Ensembl Transcript	Protein Class	CCDS	Protein Name
HGNC:1733	CDK13	Q14004	Q14004-1	ENST00000181839	"Kinase, Transferase"	CCDS5461.1	Cyclin-dependent kinase 13
HGNC:1773	CDK4	P11802	P11802-1	ENST00000257904	"Kinase, Transferase"	CCDS8953.1	Cyclin-dependent kinase 4
HGNC:1777	CDK6	Q00534	Q00534	ENST00000265734	"Kinase, Transferase"	CCDS5628.1	Cyclin-dependent kinase 6
HGNC:11411	CDKL5	O76039	O76039-1	ENST00000379989	"Kinase, Transferase"	CCDS14186.1	Cyclin-dependent kinase-like 5
HGNC:1785	CDKN1B	P46527	P46527	ENST00000228872	Enzyme modulator	CCDS8653.1	Cyclin-dependent kinase inhibitor 1B
HGNC:1787	CDKN2A	P42771	P42771-1	ENST00000304494	Enzyme modulator	CCDS6510.1	Cyclin-dependent kinase inhibitor 2A
HGNC:1789	CDKN2C	P42773	P42773	ENST00000262662	Enzyme modulator	CCDS555.1	Cyclin-dependent kinase 4 inhibitor C
HGNC:17104	CDON	Q4KMG0	Q4KMG0-1	ENST00000392693	Cell Adhesion molecule	CCDS58192.1	Cell adhesion molecule-related/down-regulated by oncogenes
HGNC:1805	CDX1	P47902	P47902-1	ENST00000231656	"Transcription factor, Nucleic acid-binding protein"	CCDS4304.1	Homeobox protein CDX-1
HGNC:1856	CENPE	Q02224	Q02224-1	ENST00000265148	Cytoskeletal protein	CCDS34042.1	Centromere-associated protein E
HGNC:1863	CES1	P23141	P23141-1	ENST00000361503	"Protease, Hydrolase"	CCDS45488.1	Liver carboxylesterase 1
HGNC:1869	CETP	P11597	P11597-1	ENST00000200676	Transferase	CCDS10772.1	Cholesteryl ester transfer protein
HGNC:1037	CFB	P00751	P00751-1	ENST00000425368	"Protease, Hydrolase"	CCDS4729.1	Complement factor B
HGNC:4883	CFH	P08603	P08603-1	ENST00000367429	Defense/Immunity protein	CCDS1385.1	Complement factor H
HGNC:5394	CFI	P05156	P05156	ENST00000394634	"Protease, Hydrolase, Defense/Immunity protein"	CCDS34049.1	Complement factor I
HGNC:1884	CFTR	P13569	P13569-1	ENST00000003084	Transporter	CCDS5773.1	Cystic fibrosis transmembrane conductance regulator
HGNC:1912	CHAT	P28329	P28329-1	ENST00000337653	Transferase	CCDS7232.1	Choline O-acetyltransferase
HGNC:1919	CHD4	Q14839	Q14839-1	ENST00000357008	"Nucleic acid-binding protein, Hydrolase, Transcription factor"	CCDS8552.1	Chromodomain-helicase-DNA-binding protein 4
HGNC:20626	CHD7	Q9P2D1	Q9P2D1-1	ENST00000423902	Nucleic acid-binding protein	CCDS47865.1	Chromodomain-helicase-DNA-binding protein 7
HGNC:16627	CHEK2	O96017	O96017-1	"ENST00000328354,ENST00000404276,ENST00000405598"	Kinase	CCDS13843.1	Serine/threonine-protein kinase Chk2
HGNC:1936	CHIT1	Q13231	Q13231-1	ENST00000367229	Hydrolase	CCDS1436.1	Chitotriosidase-1
HGNC:1938	CHKB	Q9Y259	Q9Y259-1	ENST00000406938	"Kinase, Transferase"	CCDS14099.1	Choline/ethanolamine kinase
HGNC:24537	CHMP2B	Q9UQN3	Q9UQN3-1	ENST00000263780	Membrane traffic protein	CCDS2918.1	Charged multivesicular body protein 2b
HGNC:1943	CHN1	P15882	P15882-1	ENST00000409900	Calcium-binding protein	CCDS46455.1	N-chimaerin
HGNC:1951	CHRM2	P08172	P08172	ENST00000445907	Receptor	CCDS5843.1	Muscarinic acetylcholine receptor M2
HGNC:1958	CHRNA4	P43681	P43681-1	ENST00000370263	"Receptor, Transporter"	CCDS13517.1	Neuronal acetylcholine receptor subunit alpha-4
HGNC:1962	CHRNB2	P17787	P17787	ENST00000368476	"Receptor, Transporter"	CCDS1070.1	Neuronal acetylcholine receptor subunit beta-2
HGNC:24212	CISD2	Q8N5K1	Q8N5K1	ENST00000273986	"Transcription factor, Nucleic acid-binding protein"	CCDS34040.1	CDGSH iron-sulfur domain-containing protein 2
HGNC:1994	CKM	P06732	P06732	ENST00000221476	"Kinase, Transferase"	CCDS12659.1	Creatine kinase M-type
HGNC:2023	CLCN5	P51795	P51795-1	"ENST00000307367,ENST00000376108"	Transporter	CCDS14328.1	H(+)/Cl(-) exchange transporter 5
HGNC:2063	CLIC2	O15247	O15247	ENST00000369449	"Transporter, Transferase"	CCDS14767.1	Chloride intracellular channel protein 2
HGNC:2084	CLPP	Q16740	Q16740	ENST00000245816	"Protease, Hydrolase"	CCDS12162.1	"ATP-dependent Clp protease proteolytic subunit, mitochondrial"
HGNC:2150	CNGA3	Q16281	Q16281-1	ENST00000393504	"Nucleic acid-binding protein, Transporter"	CCDS2034.1	Cyclic nucleotide-gated cation channel alpha-3
HGNC:103	CNNM2	Q9H8M5	Q9H8M5-1	ENST00000369878	Transporter	CCDS44474.1	Metal transporter CNNM2
HGNC:105	CNNM4	Q6P4Q7	Q6P4Q7-1	ENST00000377075	Transporter	CCDS2024.2	Metal transporter CNNM4
HGNC:10445	CNOT9	Q92600	Q92600-1	"ENST00000273064,ENST00000542068"	"Transcription factor, Nucleic acid-binding protein"	CCDS33379.1	CCR4-NOT transcription complex subunit 9
HGNC:2180	COCH	O43405	O43405-1	ENST00000396618	Receptor	CCDS9640.1	Cochlin
HGNC:2185	COL10A1	Q03692	Q03692	ENST00000327673	Extracellular matrix protein	CCDS5105.1	Collagen alpha-1(X) chain
HGNC:2197	COL1A1	P02452	P02452	ENST00000225964	"Extracellular matrix protein, Calcium-binding protein"	CCDS11561.1	Collagen alpha-1(I) chain
HGNC:2198	COL1A2	P08123	P08123	ENST00000297268	Extracellular matrix protein	CCDS34682.1	Collagen alpha-2(I) chain
HGNC:2200	COL2A1	P02458	P02458-2	ENST00000380518	"Signaling molecule, Extracellular matrix protein"	CCDS41778.1	Collagen alpha-1(II) chain
HGNC:2201	COL3A1	P02461	P02461-1	ENST00000304636	"Signaling molecule, Extracellular matrix protein"	CCDS2297.1	Collagen alpha-1(III) chain
HGNC:2202	COL4A1	P02462	P02462-1	ENST00000375820	Extracellular matrix protein	CCDS9511.1	Collagen alpha-1(IV) chain
HGNC:2203	COL4A2	P08572	P08572	ENST00000360467	Extracellular matrix protein	CCDS41907.1	Collagen alpha-2(IV) chain
HGNC:17213	COLEC11	Q9BWP8	Q9BWP8-1	ENST00000349077	Defense/Immunity protein	CCDS1649.1	Collectin-11
HGNC:2226	COLQ	Q9Y215	Q9Y215-1	ENST00000383788	Cell Junction protein	CCDS33709.1	Acetylcholinesterase collagenic tail peptide
HGNC:2227	COMP	P49747	P49747-1	ENST00000222271	Extracellular matrix protein	CCDS12385.1	Cartilage oligomeric matrix protein
HGNC:2228	COMT	P21964	P21964-1	ENST00000361682	Transferase	CCDS13770.1	Catechol O-methyltransferase
HGNC:16812	COQ8A	Q8NI60	Q8NI60-1	"ENST00000366777,ENST00000366779"	"Kinase, Chaperone"	CCDS1557.1	"Atypical kinase COQ8A, mitochondrial"
HGNC:2295	CP	P00450	P00450	ENST00000264613	Oxidoreductase	CCDS3141.1	Ceruloplasmin
HGNC:2296	CPA1	P15085	P15085	ENST00000011292	"Protease, Hydrolase"	CCDS5820.1	Carboxypeptidase A1
HGNC:2321	CPOX	P36551	P36551-1	ENST00000264193	Oxidoreductase	CCDS2932.1	"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial"
HGNC:2323	CPS1	P31327	P31327-1	ENST00000233072	"Protease, Transferase, Hydrolase, Ligase"	CCDS2393.1	"Carbamoyl-phosphate synthase [ammonia], mitochondrial"
HGNC:18540	CPT1C	Q8TCG5	Q8TCG5-1	ENST00000392518	Transferase	CCDS12779.1	"Carnitine O-palmitoyltransferase 1, brain isoform"
HGNC:2340	CRADD	P78560	P78560-1	ENST00000542893	Signaling molecule	CCDS9048.1	Death domain-containing protein CRADD
HGNC:2343	CRB1	P82279	P82279-1	ENST00000367400	"Calcium-binding protein, Receptor"	CCDS1390.1	Protein crumbs homolog 1
HGNC:30185	CRBN	Q96SW2	Q96SW2-1	ENST00000231948	Hydrolase	CCDS2562.1	Protein cereblon
HGNC:2345	CREB1	P16220	P16220-1	ENST00000432329	"Transcription factor, Nucleic acid-binding protein"	CCDS2375.1	Cyclic AMP-responsive element-binding protein 1
HGNC:2348	CREBBP	Q92793	Q92793-1	ENST00000262367	"Transcription factor, Nucleic acid-binding protein, Transferase"	CCDS10509.1	CREB-binding protein
HGNC:2389	CRYAB	P02511	P02511	ENST00000533475	"Chaperone, Cytoskeletal protein, Extracellular matrix protein"	CCDS8351.1	Alpha-crystallin B chain
HGNC:2396	CRYBA4	P53673	P53673	ENST00000354760	Extracellular matrix protein	CCDS13841.1	Beta-crystallin A4
HGNC:2397	CRYBB1	P53674	P53674	ENST00000215939	Extracellular matrix protein	CCDS13840.1	Beta-crystallin B1
HGNC:2398	CRYBB2	P43320	P43320	ENST00000398215	Extracellular matrix protein	CCDS13831.1	Beta-crystallin B2
HGNC:2400	CRYBB3	P26998	P26998	ENST00000215855	Extracellular matrix protein	CCDS13830.1	Beta-crystallin B3
HGNC:2410	CRYGC	P07315	P07315	ENST00000282141	Extracellular matrix protein	CCDS2379.1	Gamma-crystallin C
HGNC:2411	CRYGD	P07320	P07320	ENST00000264376	Extracellular matrix protein	CCDS2378.1	Gamma-crystallin D
HGNC:2417	CRYGS	P22914	P22914	ENST00000392499	Extracellular matrix protein	CCDS3275.1	Beta-crystallin S
HGNC:2433	CSF1R	P07333	P07333-1	ENST00000286301	"Receptor, Kinase, Transferase"	CCDS4302.1	Macrophage colony-stimulating factor 1 receptor
HGNC:2435	CSF2RA	P15509	P15509-1	"ENST00000381524,ENST00000381529,ENST00000432318"	"Signaling molecule, Defense/Immunity protein"	CCDS35191.1	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
HGNC:2436	CSF2RB	P32927	P32927-1	ENST00000403662	Receptor	CCDS13936.1	Cytokine receptor common subunit beta
HGNC:2439	CSF3R	Q99062	Q99062-1	"ENST00000361632,ENST00000373106"	"Signaling molecule, Defense/Immunity protein"	CCDS413.1	Granulocyte colony-stimulating factor receptor
HGNC:2452	CSNK1D	P48730	P48730-1	ENST00000314028	"Kinase, Transferase"	CCDS11805.1	Casein kinase I isoform delta
HGNC:2457	CSNK2A1	P68400	P68400-1	ENST00000217244	Kinase	CCDS13003.1	Casein kinase II subunit alpha
HGNC:2472	CSRP3	P50461	P50461-1	ENST00000533783	Cytoskeletal protein	CCDS7848.1	Cysteine and glycine-rich protein 3
HGNC:2475	CST3	P01034	P01034	ENST00000398411	Enzyme modulator	CCDS13158.1	Cystatin-C
HGNC:2482	CSTB	P04080	P04080	ENST00000291568	Enzyme modulator	CCDS13701.1	Cystatin-B
HGNC:2494	CTBP1	Q13363	Q13363-1	ENST00000290921	Transcription factor	CCDS3348.1	C-terminal-binding protein 1
HGNC:13723	CTCF	P49711	P49711-1	ENST00000264010	Transcription factor	CCDS10841.1	Transcriptional repressor CTCF
HGNC:2501	CTH	P32929	P32929-1	ENST00000370938	Lyase	CCDS650.1	Cystathionine gamma-lyase
HGNC:2505	CTLA4	P16410	P16410-1	ENST00000302823	"Receptor, Defense/Immunity protein"	CCDS2362.1	Cytotoxic T-lymphocyte protein 4
HGNC:2509	CTNNA1	P35221	P35221-1	ENST00000302763	"Cell Adhesion molecule, Cytoskeletal protein"	CCDS34243.1	Catenin alpha-1
HGNC:2514	CTNNB1	P35222	P35222-1	ENST00000349496	"Transcription factor, Cell Adhesion molecule, Cytoskeletal protein, Extracellular matrix protein"	CCDS2694.1	Catenin beta-1
HGNC:2523	CTRC	Q99895	Q99895	ENST00000375949	"Protease, Hydrolase"	CCDS156.1	Chymotrypsin-C
HGNC:2528	CTSC	P53634	P53634-1	ENST00000227266	"Protease, Enzyme modulator, Hydrolase"	CCDS8282.1	Dipeptidyl peptidase 1
HGNC:2529	CTSD	P07339	P07339	ENST00000236671	"Protease, Hydrolase"	CCDS7725.1	Cathepsin D
HGNC:2531	CTSF	Q9UBX1	Q9UBX1	ENST00000310325	"Protease, Enzyme modulator, Hydrolase"	CCDS8144.1	Cathepsin F
HGNC:2536	CTSK	P43235	P43235	ENST00000271651	"Protease, Enzyme modulator, Hydrolase"	CCDS969.1	Cathepsin K
HGNC:2548	CUBN	O60494	O60494	ENST00000377833	"Receptor, Transporter, Calcium-binding protein"	CCDS7113.1	Cubilin
HGNC:2555	CUL4B	Q13620	Q13620-2	ENST00000404115	Ligase	CCDS35379.1	Cullin-4B
HGNC:10664	CWC27	Q6UX04	Q6UX04-1	ENST00000381070	Isomerase	CCDS3982.2	Spliceosome-associated protein CWC27 homolog
HGNC:2570	CYB5A	P00167	P00167-1	ENST00000340533	Oxidoreductase	CCDS12004.1	Cytochrome b5
HGNC:2873	CYB5R3	P00387	P00387-1	ENST00000352397	Oxidoreductase	CCDS33658.1	NADH-cytochrome b5 reductase 3
HGNC:2577	CYBA	P13498	P13498	ENST00000261623	Oxidoreductase	CCDS32504.1	Cytochrome b-245 light chain
HGNC:2578	CYBB	P04839	P04839	ENST00000378588	Oxidoreductase	CCDS14242.1	Cytochrome b-245 heavy chain
HGNC:2579	CYC1	P08574	P08574	ENST00000318911	"Oxidoreductase, Transporter"	CCDS6415.1	"Cytochrome Calcium-binding protein, heme protein, mitochondrial"
HGNC:19986	CYCS	P99999	P99999	ENST00000305786	Transfer/Carrier protein	CCDS5393.1	Cytochrome c
HGNC:2584	CYLD	Q9NQC7	Q9NQC7-1	ENST00000427738	"Protease, Nucleic acid-binding protein, Hydrolase"	CCDS45482.1	Ubiquitin carboxyl-terminal hydrolase CYLD
HGNC:2590	CYP11A1	P05108	P05108-1	ENST00000268053	Oxidoreductase	CCDS32291.1	"Cholesterol side-chain cleavage enzyme, mitochondrial"
HGNC:2592	CYP11B2	P19099	P19099	ENST00000323110	Oxidoreductase	CCDS6393.1	"Cytochrome P450 11B2, mitochondrial"
HGNC:2593	CYP17A1	P05093	P05093	ENST00000369887	"Oxidoreductase, Lyase"	CCDS7541.1	"Steroid 17-alpha-hydroxylase/17,20 lyase"
HGNC:2594	CYP19A1	P11511	P11511-1	ENST00000396402	Oxidoreductase	CCDS10139.1	Aromatase
HGNC:2597	CYP1B1	Q16678	Q16678	ENST00000260630/NM_000104.3	Oxidoreductase	CCDS1793.1	Cytochrome P450 1B1
HGNC:2623	CYP2C9	P11712	P11712-1	ENST00000260682	Oxidoreductase	CCDS7437.1	Cytochrome P450 2C9
HGNC:2625	CYP2D6	P10635	P10635-1	ENST00000360608	Oxidoreductase	CCDS46721.1	Cytochrome P450 2D6
HGNC:20580	CYP2R1	Q6VVX0	Q6VVX0	ENST00000334636	Oxidoreductase	CCDS7818.1	Vitamin D 25-hydroxylase
HGNC:2666	DAG1	Q14118	Q14118	ENST00000545947	Receptor	CCDS2799.1	Dystroglycan
HGNC:2671	DAO	P14920	P14920	ENST00000228476	Oxidoreductase	CCDS9122.1	D-amino-acid oxidase
HGNC:2676	DAPK3	O43293	O43293-1	ENST00000545797	"Kinase, Transferase"	CCDS12116.1	Death-associated protein kinase 3
HGNC:2678	DARS	P14868	P14868-1	ENST00000264161	"Nucleic acid-binding protein, Ligase"	CCDS2180.1	"Aspartate--tRNA ligase, cytoplasmic"
HGNC:25538	DARS2	Q6PI48	Q6PI48	ENST00000361951	"Nucleic acid-binding protein, Ligase"	CCDS1311.1	"Aspartate--tRNA ligase, mitochondrial"
HGNC:2689	DBH	P09172	P09172	ENST00000393056	Oxidoreductase	CCDS6977.2	Dopamine beta-hydroxylase
HGNC:2698	DBT	P11182	P11182	ENST00000370132	Transferase	CCDS767.1	"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial"
HGNC:2701	DCC	P43146	P43146	ENST00000442544	Receptor	CCDS11952.1	Netrin receptor DCC
HGNC:29812	DCPS	Q96C86	Q96C86	ENST00000263579	Hydrolase	CCDS8473.1	m7GpppX diphosphatase
HGNC:2711	DCTN1	Q14203	Q14203-1	ENST00000361874	Cytoskeletal protein	CCDS1939.1	Dynactin subunit 1
HGNC:2714	DCX	O43602	O43602-1	"ENST00000338081/NM_178151.2, NM_178152.2, NM_178153.2"	Kinase	CCDS14558.1	Neuronal migration protein doublecortin
HGNC:2718	DDB2	Q92466	Q92466-1	ENST00000256996	Nucleic acid-binding protein	CCDS7927.1	DNA damage-binding protein 2
HGNC:2719	DDC	P20711	P20711-1	ENST00000444124	Lyase	CCDS5511.1	Aromatic-L-amino-acid decarboxylase
HGNC:2731	DDR2	Q16832	Q16832	ENST00000367922	Receptor	CCDS1241.1	Discoidin domain-containing receptor 2
HGNC:2745	DDX3X	O00571	O00571-1	ENST00000399959	Nucleic acid-binding protein	CCDS43931.1	ATP-dependent RNA helicase DDX3X
HGNC:18674	DDX41	Q9UJV9	Q9UJV9	ENST00000507955	Nucleic acid-binding protein	CCDS4427.1	Probable ATP-dependent RNA helicase DDX41
HGNC:19102	DDX58	O95786	O95786-1	ENST00000379883	"Nucleic acid-binding protein, Hydrolase"	CCDS6526.1	Probable ATP-dependent RNA helicase DDX58
HGNC:2858	DGUOK	Q16854	Q16854-1	ENST00000264093	"Kinase, Transferase"	CCDS1931.1	"Deoxyguanosine kinase, mitochondrial"
HGNC:2861	DHFR	P00374	P00374-1	ENST00000439211	Oxidoreductase	CCDS47240.1	Dihydrofolate reductase
HGNC:2865	DHH	O43323	O43323	ENST00000266991	"Signaling molecule, Protease, Hydrolase, Cell Junction protein"	CCDS8779.1	Desert hedgehog protein
HGNC:2867	DHODH	Q02127	Q02127	ENST00000219240	Oxidoreductase	CCDS42192.1	"Dihydroorotate dehydrogenase (quinone), mitochondrial"
HGNC:21528	DIABLO	Q9NR28	Q9NR28-1	ENST00000443649	"Enzyme modulator, Nucleic acid-binding protein"	CCDS9228.1	"Diablo homolog, mitochondrial"
HGNC:17098	DICER1	Q9UPY3	Q9UPY3-1	ENST00000526495	Nucleic acid-binding protein	CCDS9931.1	Endoribonuclease Dicer
HGNC:2896	DLAT	P10515	P10515	ENST00000280346	Transferase	CCDS8354.1	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"
HGNC:2898	DLD	P09622	P09622-1	ENST00000205402	Oxidoreductase	CCDS5749.1	"Dihydrolipoyl dehydrogenase, mitochondrial"
HGNC:2910	DLL4	Q9NR61	Q9NR61	ENST00000249749	"Signaling molecule, Cell Junction protein"	CCDS45232.1	Delta-like protein 4
HGNC:2916	DLX3	O60479	O60479	ENST00000434704	"Transcription factor, Nucleic acid-binding protein"	CCDS11556.1	Homeobox protein DLX-3
HGNC:2918	DLX5	P56178	P56178-1	ENST00000222598	"Transcription factor, Nucleic acid-binding protein"	CCDS5647.1	Homeobox protein DLX-5
HGNC:2927	DMC1	Q14565	Q14565-1	ENST00000216024	Nucleic acid-binding protein	CCDS13973.1	Meiotic recombination protein DMC1/LIM15 homolog
HGNC:2928	DMD	P11532	P11532-1	NM_004006.2	"Cytoskeletal protein, Extracellular matrix protein"	CCDS14233.1	Dystrophin
HGNC:24475	DMGDH	Q9UI17	Q9UI17-1	ENST00000255189	Oxidoreductase	CCDS4044.1	"Dimethylglycine dehydrogenase, mitochondrial"
HGNC:2934	DMRT1	Q9Y5R6	Q9Y5R6-1	ENST00000382276	"Transcription factor, Nucleic acid-binding protein"	CCDS6442.1	Doublesex- and mab-3-related transcription factor 1
HGNC:5228	DNAJB2	P25686	P25686-3	ENST00000336576	Chaperone	CCDS2439.1	DnaJ homolog subfamily B member 2
HGNC:28908	DNAJC12	Q9UKB3	Q9UKB3-1	ENST00000225171	Chaperone	CCDS7271.1	DnaJ homolog subfamily C member 12
HGNC:25556	DNAJC17	Q9NVM6	Q9NVM6	ENST00000220496	"Chaperone, Nucleic acid-binding protein"	CCDS10065.1	DnaJ homolog subfamily C member 17
HGNC:2956	DNASE1	P24855	P24855-1	ENST00000246949	"Nucleic acid-binding protein, Hydrolase"	CCDS10507.1	Deoxyribonuclease-1
HGNC:2972	DNM1	Q05193	Q05193-1	ENST00000372923	"Enzyme modulator, Cytoskeletal protein, Hydrolase"	CCDS6895.1	Dynamin-1
HGNC:2973	DNM1L	O00429	O00429-1	ENST00000549701	"Enzyme modulator, Cytoskeletal protein, Hydrolase"	CCDS8729.1	Dynamin-1-like protein
HGNC:2974	DNM2	P50570	P50570-1	ENST00000355667	"Enzyme modulator, Cytoskeletal protein, Hydrolase"	CCDS45968.1	Dynamin-2
HGNC:2978	DNMT3A	Q9Y6K1	Q9Y6K1-1	ENST00000264709	"Nucleic acid-binding protein, Transferase"	CCDS33157.1	DNA (cytosine-5)-methyltransferase 3A
HGNC:2979	DNMT3B	Q9UBC3	Q9UBC3-1	ENST00000328111	"Nucleic acid-binding protein, Transferase"	CCDS13205.1	DNA (cytosine-5)-methyltransferase 3B
HGNC:2988	DOCK2	Q92608	Q92608-1	ENST00000256935	"Enzyme modulator, Cytoskeletal protein"	CCDS4371.1	Dedicator of cytokinesis protein 2
HGNC:2995	DPAGT1	Q9H3H5	Q9H3H5-1	ENST00000409993	Transferase	CCDS8411.1	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase
HGNC:3013	DPYS	Q14117	Q14117	ENST00000351513	"Protease, Hydrolase"	CCDS6302.1	Dihydropyrimidinase
HGNC:3036	DSC2	Q02487	Q02487-1	ENST00000280904	"Cell Adhesion molecule, Cell Junction protein"	CCDS11892.1	Desmocollin-2
HGNC:3049	DSG2	Q14126	Q14126	ENST00000261590	"Cell Adhesion molecule, Cell Junction protein"	CCDS42423.1	Desmoglein-2
HGNC:3052	DSP	P15924	P15924-1	ENST00000379802	Cytoskeletal protein	CCDS4501.1	Desmoplakin
HGNC:3072	DUSP6	Q16828	Q16828-1	ENST00000279488	"Phosphatase, Kinase"	CCDS9033.1	Dual specificity protein phosphatase 6
HGNC:3078	DUT	P33316	P33316-3	ENST00000331200	"Phosphatase, Hydrolase"	CCDS32231.1	"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial"
HGNC:2961	DYNC1H1	Q14204	Q14204	ENST00000360184	"Cytoskeletal protein, Hydrolase"	CCDS9966.1	Cytoplasmic dynein 1 heavy chain 1
HGNC:3091	DYRK1A	Q13627	Q13627-1	ENST00000398960	"Kinase, Transferase"	CCDS42925.1	Dual specificity tyrosine-phosphorylation-regulated kinase 1A
HGNC:3097	DYSF	O75923	O75923-1	ENST00000258104	Membrane traffic protein	CCDS1918.1	Dysferlin
HGNC:3146	ECE1	P42892	P42892-1	ENST00000374893	"Protease, Hydrolase"	CCDS215.1	Endothelin-converting enzyme 1
HGNC:3151	ECHS1	P30084	P30084	ENST00000368547	"Oxidoreductase, Transferase, Lyase, Isomerase, Ligase"	CCDS7681.1	"Enoyl-CoA hydratase, mitochondrial"
HGNC:3157	EDA	Q92838	Q92838-1	ENST00000374552	"Receptor, Cell Adhesion molecule, Signaling molecule"	CCDS14394.1	Ectodysplasin-A
HGNC:26114	EDC3	Q96F86	Q96F86	ENST00000315127	Nucleic acid-binding protein	CCDS10267.1	Enhancer of mRNA-decapping protein 3
HGNC:3176	EDN1	P05305	P05305	ENST00000379375	Signaling molecule	CCDS4522.1	Endothelin-1
HGNC:3180	EDNRB	P24530	P24530-1	ENST00000334286	Receptor	CCDS9461.1	Endothelin receptor type B
HGNC:3188	EED	O75530	O75530-1	ENST00000263360	"Nucleic acid-binding protein, Transferase"	CCDS8273.1	Polycomb protein EED
HGNC:3219	EFEMP2	O95967	O95967	ENST00000307998	"Signaling molecule, Calcium-binding protein, Cell Adhesion molecule, Extracellular matrix protein"	CCDS8116.1	EGF-containing fibulin-like extracellular matrix protein 2
HGNC:30858	EFTUD2	Q15029	Q15029-1	ENST00000426333	"Enzyme modulator, Nucleic acid-binding protein, Hydrolase"	CCDS11489.1	116 kDa U5 small nuclear ribonucleoprotein component
HGNC:3236	EGFR	P00533	P00533-1	ENST00000275493	"Receptor, Kinase, Transferase, Nucleic acid-binding protein"	CCDS5514.1	Epidermal growth factor receptor
HGNC:1232	EGLN1	Q9GZT9	Q9GZT9-1	ENST00000366641	Oxidoreductase	CCDS1595.1	Egl nine homolog 1
HGNC:24650	EHMT1	Q9H9B1	Q9H9B1-1	ENST00000460843	"Enzyme modulator, Transferase"	CCDS7050.2	Histone-lysine N-methyltransferase EHMT1
HGNC:3255	EIF2AK3	Q9NZJ5	Q9NZJ5	ENST00000303236	"Kinase, Transferase"	CCDS33241.1	Eukaryotic translation initiation factor 2-alpha kinase 3
HGNC:3257	EIF2B1	Q14232	Q14232-1	ENST00000424014	Nucleic acid-binding protein	CCDS31924.1	Translation initiation factor eIF-2B subunit alpha
HGNC:3261	EIF2B5	Q13144	Q13144	ENST00000273783	Transcription factor	CCDS3252.1	Translation initiation factor eIF-2B subunit epsilon
HGNC:18683	EIF4A3	P38919	P38919	ENST00000269349	"Nucleic acid-binding protein, Hydrolase"	CCDS11767.1	Eukaryotic initiation factor 4A-III
HGNC:3309	ELANE	P08246	P08246	ENST00000590230	"Protease, Hydrolase"	CCDS12045.1	Neutrophil elastase
HGNC:11617	ELOC	Q15369	Q15369-1	"ENST00000284811,ENST00000518127,ENST00000519487,ENST00000520242,ENST00000522337,ENST00000523815"	Enzyme modulator	CCDS34910.1	Elongin-C
HGNC:3331	EMD	P50402	P50402	ENST00000369842	Cytoskeletal protein	CCDS14745.1	Emerin
HGNC:16912	EMG1	Q92979	Q92979	ENST00000261406/NM_006331.7	Nucleic acid-binding protein	CCDS73430.1	Ribosomal RNA small subunit methyltransferase NEP1
HGNC:3330	EML1	O00423	O00423-1	ENST00000262233	Cytoskeletal protein	CCDS32155.1	Echinoderm microtubule-associated protein-like 1
HGNC:3349	ENG	P17813	P17813-1	ENST00000373203	"Signaling molecule, Extracellular matrix protein"	CCDS48029.1	Endoglin
HGNC:3353	ENO2	P09104	P09104-1	ENST00000535366	Lyase	CCDS8570.1	Gamma-enolase
HGNC:3354	ENO3	P13929	P13929-1	ENST00000323997	Lyase	CCDS11062.1	Beta-enolase
HGNC:3356	ENPP1	P22413	P22413	ENST00000360971	"Phosphatase, Hydrolase"	CCDS5150.2	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1
HGNC:3373	EP300	Q09472	Q09472	ENST00000263253	"Transcription factor, Nucleic acid-binding protein, Transferase"	CCDS14010.1	Histone acetyltransferase p300
HGNC:11529	EPCAM	P16422	P16422	ENST00000263735	"Signaling molecule, Cell Adhesion molecule"	CCDS1833.1	Epithelial cell adhesion molecule
HGNC:3386	EPHA2	P29317	P29317-1	ENST00000358432	"Receptor, Kinase, Transferase, Nucleic acid-binding protein"	CCDS169.1	Ephrin type-A receptor 2
HGNC:3395	EPHB4	P54760	P54760-1	ENST00000358173	"Receptor, Kinase, Transferase"	CCDS5706.1	Ephrin type-B receptor 4
HGNC:3413	EPM2A	O95278	O95278-1	ENST00000367519	"Phosphatase, Hydrolase"	CCDS5206.1	Laforin
HGNC:3415	EPO	P01588	P01588	ENST00000252723	Signaling molecule	CCDS5705.1	Erythropoietin
HGNC:3416	EPOR	P19235	P19235-1	ENST00000222139	Receptor	CCDS12260.1	Erythropoietin receptor
HGNC:3430	ERBB2	P04626	P04626-1	ENST00000269571	"Receptor, Kinase, Transferase, Transcription factor"	CCDS32642.1	Receptor tyrosine-protein kinase erbB-2
HGNC:3431	ERBB3	P21860	P21860-1	ENST00000267101	"Receptor, Kinase, Transferase"	CCDS31833.1	Receptor tyrosine-protein kinase erbB-3
HGNC:3432	ERBB4	Q15303	Q15303-1	ENST00000342788	"Receptor, Kinase, Transferase"	CCDS2394.1	Receptor tyrosine-protein kinase erbB-4
